url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbols,num_ampersands,num_equals_signs,num_question_marks,num_special_chars,num_digits,digit_ratio,has_https,has_ip_address,num_subdomains,domain_entropy,has_suspicious_keyword,num_suspicious_keywords,has_suspicious_tld,has_phishing_extension,path_depth,has_port,url_entropy,token_count,longest_token_length,has_double_slash_redirect,has_hex_encoding,label
92,19,65,0,1,1,0,4,0,0,0,0,0,9,0.09782608695652174,1,0,0,3.826874881864638,0,0,0,0,2,0,4.822262978937215,6,59,0,0,1
29,18,3,0,1,1,0,3,0,0,0,0,0,0,0.0,1,0,0,3.614369445886757,0,0,0,0,1,0,3.9353986674667625,5,8,0,0,1
55,17,31,0,3,0,0,6,0,0,0,0,0,2,0.03636363636363636,0,0,1,3.616874605956222,0,0,0,1,4,0,4.317659832360698,9,11,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,2,0.1111111111111111,1,0,0,3.3219280948873626,0,0,1,0,0,0,3.5724312513221195,3,6,0,0,1
84,76,0,0,3,1,0,2,0,0,0,0,0,5,0.05952380952380952,1,0,2,4.66311867168208,0,0,0,0,0,0,4.763626947177871,6,59,0,0,1
35,16,11,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.1556390622295662,1,1,0,0,1,0,4.085588016574086,5,10,0,0,0
63,22,33,0,3,0,0,6,0,0,0,0,0,0,0.0,1,0,2,3.572623663895164,1,1,0,0,3,0,4.147781812925609,8,19,0,0,0
71,11,52,0,1,1,0,4,0,0,0,0,0,6,0.08450704225352113,1,0,0,3.095795255000934,0,0,0,0,2,0,4.894907909225797,6,46,0,0,1
92,13,71,0,2,7,0,5,0,0,0,0,0,8,0.08695652173913043,1,0,1,2.6235166412180155,0,0,0,0,3,0,4.516655610446852,14,10,0,0,0
77,11,58,0,2,8,0,4,0,0,0,0,0,0,0.0,1,0,1,2.8453509366224368,0,0,0,0,2,0,4.320702496123936,14,9,0,0,0
38,29,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.581444787932611,0,0,0,0,0,0,3.8655768552072485,4,21,0,0,0
71,11,52,0,1,1,0,4,0,0,0,0,0,7,0.09859154929577464,1,0,0,3.095795255000934,0,0,0,0,2,0,5.010397077397906,6,46,0,0,1
52,15,29,0,2,2,0,4,0,0,0,0,0,0,0.0,1,0,1,3.106890595608519,0,0,0,0,2,0,4.18132974776242,8,9,0,0,0
62,43,11,0,3,1,0,3,0,0,0,0,0,20,0.3225806451612903,1,0,1,4.1558184643976634,0,0,0,0,1,0,4.703408003586316,7,32,0,0,1
40,31,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.937751955408587,0,0,0,0,0,0,4.108694969562842,4,15,0,0,1
38,30,0,0,2,0,0,2,0,0,0,0,0,4,0.10526315789473684,1,0,1,3.9483943455364034,0,0,0,0,0,0,4.333325210755072,4,14,0,0,1
98,15,75,0,3,8,0,7,0,0,0,0,0,10,0.10204081632653061,1,0,1,3.323231428797621,0,0,0,0,5,0,4.641668197614007,18,8,0,0,0
82,26,48,0,5,0,0,6,0,0,0,0,0,4,0.04878048780487805,1,0,3,3.748328660365574,0,0,1,0,4,0,4.783240005474171,13,11,0,1,1
